metric_type,symbol,value,description,timestamp
beta_alpha,TSLA,0.0013441374662280206,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,TSLA,0.4132158403194227,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,TSLA,0.6428186683034514,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,TSLA,0.7112624172943071,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,TSLA,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,TSLA,0.6069227478761563,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,TSLA,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,PLTR,2.133324709364917,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,PLTR,0.006146645630190033,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,PLTR,0.31494791589625026,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,PLTR,0.5612022058903994,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,PLTR,0.7215319041795111,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,PLTR,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,PLTR,0.6347586935514766,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,PLTR,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
